Fp1,Fp1 (V)
Fp2,Fp2 (V)
F3,F3 (V)
F4,F4 (V)
C3,C3 (V)
C4,C4 (V)
P3,P3 (V)
P4,P4 (V)
O1,O1 (V)
O2,O2 (V)
F7,F7 (V)
F8,F8 (V)
T7,T7 (V)
T8,T8 (V)
P7,P7 (V)
P8,P8 (V)
Fz,Fz (V)
Cz,Cz (V)
Pz,Pz (V)
Oz,Oz (V)
FC1,FC1 (V)
FC2,FC2 (V)
CP1,CP1 (V)
CP2,CP2 (V)
FC5,FC5 (V)
FC6,FC6 (V)
CP5,CP5 (V)
CP6,CP6 (V)
FT9,FT9 (V)
FT10,FT10 (V)
FCz,FCz (V)
AFz,AFz (V)
F1,F1 (V)
F2,F2 (V)
C1,C1 (V)
C2,C2 (V)
P1,P1 (V)
P2,P2 (V)
AF3,AF3 (V)
AF4,AF4 (V)
FC3,FC3 (V)
FC4,FC4 (V)
CP3,CP3 (V)
CP4,CP4 (V)
PO3,PO3 (V)
PO4,PO4 (V)
F5,F5 (V)
F6,F6 (V)
C5,C5 (V)
C6,C6 (V)
P5,P5 (V)
P6,P6 (V)
AF7,AF7 (V)
AF8,AF8 (V)
FT7,FT7 (V)
FT8,FT8 (V)
TP7,TP7 (V)
TP8,TP8 (V)
PO7,PO7 (V)
PO8,PO8 (V)
Fpz,Fpz (V)
CPz,CPz (V)
POz,POz (V)
TP10,TP10 (V)
Fp2minusFp1,abs(Fp2 - Fp1) (V)
F4minusF3,abs(F4 - F3) (V)
C4minusC3,abs(C4 - C3) (V)
P4minusP3,abs(P4 - P3) (V)
O2minusO1,abs(O2 - O1) (V)
F8minusF7,abs(F8 - F7) (V)
T8minusT7,abs(T8 - T7) (V)
P8minusP7,abs(P8 - P7) (V)
FC2minusFC1,abs(FC2 - FC1) (V)
CP2minusCP1,abs(CP2 - CP1) (V)
FC6minusFC5,abs(FC6 - FC5) (V)
CP6minusCP5,abs(CP6 - CP5) (V)
FT10minusFT9,abs(FT10 - FT9) (V)
F2minusF1,abs(F2 - F1) (V)
C2minusC1,abs(C2 - C1) (V)
P2minusP1,abs(P2 - P1) (V)
AF4minusAF3,abs(AF4 - AF3) (V)
FC4minusFC3,abs(FC4 - FC3) (V)
CP4minusCP3,abs(CP4 - CP3) (V)
PO4minusPO3,abs(PO4 - PO3) (V)
F6minusF5,abs(F6 - F5) (V)
C6minusC5,abs(C6 - C5) (V)
P6minusP5,abs(P6 - P5) (V)
AF8minusAF7,abs(AF8 - AF7) (V)
FT8minusFT7,abs(FT8 - FT7) (V)
TP8minusTP7,abs(TP8 - TP7) (V)
PO8minusPO7,abs(PO8 - PO7) (V)
ExG1,EMG 1 (V)
ExG2,EMG 2 (V)
ExG3,EMG 3 (V)
ExG4,EMG 4 (V)
ECG,ECG (V)
rpeaks,R-Peak Flag
HRV_meanNN,HRV_{MNN} (ms)
HRV_VNN,HRV_{MNN} (ms)
HRV_SDNN,HRV_{SDNN} (ms)
HRV_rMSSD,HRV_{rMSSD} (ms)
rrInterval,R-R Interval (ms)
Resp,Respiration (k\Omega)
BR,Respiration Rate (brpm)
PPG,PPG (MADU)
SpO2,SpO_2 (%)
HR,Heart Rate (bpm)
CT_buller,Estimated^* Core Temperature (C)
GSR,Galvanic Skin Response (k\Omega)
GSR_uS,Galvanic Skin Response (uS)
Temp,Temperature (C)
AUX1,Auxiliary Sensor 1 (V)
AUX2,Auxiliary Sensor 2 (V)
AccelX,Accelerometer X (g)
AccelY,Accelerometer Y (g)
AccelZ,Accelerometer Z (g)
PacketCounter,Packet Counter
TRIGGER,Wireless Trigger
Error_LeftPupilCenter_Timetable,Left Pupil Center Error
GazeIndex_LeftPupilCenter_Timetable,Left Pupil Center Gaze Index
PupilCenterX_LeftPupilCenter_Timetable,Left Pupil Center X (mm)
PupilCenterY_LeftPupilCenter_Timetable,Left Pupil Center Y (mm)
PupilCenterZ_LeftPupilCenter_Timetable,Left Pupil Center Z (mm)
Error_RightPupilCenter_Timetable,Right Pupil Center Error
GazeIndex_RightPupilCenter_Timetable,Right Pupil Center Gaze Index
PupilCenterX_RightPupilCenter_Timetable,Right Pupil Center X (mm)
PupilCenterY_RightPupilCenter_Timetable,Right Pupil Center Y (mm)
PupilCenterZ_RightPupilCenter_Timetable,Right Pupil Center Z (mm)
Error_LeftPupilDiameter_Timetable,Left Pupil Diameter Error
GazeIndex_LeftPupilDiameter_Timetable,Left Pupil Diameter Gaze Index
PupilDiameter_LeftPupilDiameter_Timetable,Left Pupil Diameter (mm)
Error_RightPupilDiameter_Timetable,Right Pupil Diameter Error
GazeIndex_RightPupilDiameter_Timetable,Right Pupil Diameter Gaze Index
PupilDiameter_RightPupilDiameter_Timetable,Right Pupil Diameter (mm)
Error_LeftGazeDirection_Timetable,Left Gaze Direction Error
GazeIndex_LeftGazeDirection_Timetable,Left Gaze Direction Gaze Index
GazeDirectionX_LeftGazeDirection_Timetable,Left Gaze Direction X (au)
GazeDirectionY_LeftGazeDirection_Timetable,Left Gaze Direction Y (au)
GazeDirectionZ_LeftGazeDirection_Timetable,Left Gaze Direction Z (au)
Error_RightGazeDirection_Timetable,Right Gaze Direction Error
GazeIndex_RightGazeDirection_Timetable,Right Gaze Direction Gaze Index
GazeDirectionX_RightGazeDirection_Timetable,Right Gaze Direction X (au)
GazeDirectionY_RightGazeDirection_Timetable,Right Gaze Direction Y (au)
GazeDirectionZ_RightGazeDirection_Timetable,Right Gaze Direction Z (au)
Error_GazePosition_Timetable,Gaze Position Error
GazeIndex_GazePosition_Timetable,Gaze Position Gaze Index
Latency,Video Latency (us)
GazePositionX,Gaze Position X (au)
GazePositionY,Gaze Position Y (au)
Error_GazePosition3D_Timetable,3D Gaze Position Error
GazeIndex_GazePosition3D_Timetable,3D Gaze Position Gaze Index
GazePosition3DX,3D Gaze Position X (mm)
GazePosition3DY,3D Gaze Position Y (mm)
GazePosition3DZ,3D Gaze Position Z (mm)
GyroscopeX,Gyroscope X (°/s)
GyroscopeY,Gyroscope Y (°/s)
GyroscopeZ,Gyroscope Z (°/s)
Error_Gyroscope_Timetable,Gyroscope Error
AccelerometerX,Accelerometer X (m/s^2)
AccelerometerY,Accelerometer Y (m/s^2)
AccelerometerZ,Accelerometer Z (m/s^2)
Error_Accelerometer_Timetable,Acceleromter Error
AveragePupilDiameter,Average Pupil Diameter (mm)
PupilDiameterDifference,Difference in Pupil Diameters (mm)
PupilCenterX_Distance,Pupil Center X Distance (mm)
PupilCenterY_Distance,Pupil Center Y Distance (mm)
PupilCenterZ_Distance,Pupil Center Z Distance (mm)
PupilCenter_Distance,Pupil Center 3D Distance (mm)
PupilCenter_Distance_MovingAverage,Pupil Center 3D Distance - Moving Average (mm)
PupilCenter_Distance_MovingVariance,Pupil Center 3D Distance - Moving Variance (mm)
PupilCenter_Distance_MovingRepresentativeness,Pupil Center 3D Distance - Moving Representativeness (mm)
LeftPupilArea,Left Pupil Area (mm^2)
RightPupilArea,Right Pupil Area (mm^2)
PupilAreaDifference,Difference in Pupil Areas (mm^2)
FixationFlag,Fixation Flag
BlinkFlag,Blink Flag
