Data Channel,Bin,X Lower (um),X Upper (um)
110,0,0.100000,0.107461
111,1,0.107461,0.115478
112,2,0.115478,0.124094
113,3,0.124094,0.133352
114,4,0.133352,0.143301
115,5,0.143301,0.153993
116,6,0.153993,0.165482
117,7,0.165482,0.177828
118,8,0.177828,0.191095
119,9,0.191095,0.205353
120,10,0.205353,0.220673
121,11,0.220673,0.237137
122,12,0.237137,0.254830
123,13,0.254830,0.273842
124,14,0.273842,0.294273
125,15,0.294273,0.316228
126,16,0.316228,0.339821
127,17,0.339821,0.365174
128,18,0.365174,0.392419
129,19,0.392419,0.421697
130,20,0.421697,0.453158
131,21,0.453158,0.486968
132,22,0.486968,0.523299
133,23,0.523299,0.562341
134,24,0.562341,0.604296
135,25,0.604296,0.649382
136,26,0.649382,0.697831
137,27,0.697831,0.749894
138,28,0.749894,0.805842
139,29,0.805842,0.865964
140,30,0.865964,0.930572
141,31,0.930572,1.000000
142,32,1.000000,1.074608
143,33,1.074608,1.154782
144,34,1.154782,1.240938
145,35,1.240938,1.333521
146,36,1.333521,1.433013
147,37,1.433013,1.539927
148,38,1.539927,1.654817
149,39,1.654817,1.778279
150,40,1.778279,1.910953
151,41,1.910953,2.053525
152,42,2.053525,2.206734
153,43,2.206734,2.371374
154,44,2.371374,2.548297
155,45,2.548297,2.738420
156,46,2.738420,2.942727
157,47,2.942727,3.162278
158,48,3.162278,3.398208
159,49,3.398208,3.651741
160,50,3.651741,3.924190
161,51,3.924190,4.216965
162,52,4.216965,4.531584
163,53,4.531584,4.869675
164,54,4.869675,5.232991
165,55,5.232991,5.623413
166,56,5.623413,6.042964
167,57,6.042964,6.493816
168,58,6.493816,6.978306
169,59,6.978306,7.498942
170,60,7.498942,8.058422
171,61,8.058422,8.659643
172,62,8.659643,9.305720
173,63,9.305720,10.000000
174,64,10.000000,10.746078
175,65,10.746078,11.547820
176,66,11.547820,12.409378
177,67,12.409378,13.335215
178,68,13.335215,14.330126
179,69,14.330126,15.399265
180,70,15.399265,16.548170
181,71,16.548170,17.782795
182,72,17.782795,19.109529
183,73,19.109529,20.535250
184,74,20.535250,22.067341
185,75,22.067341,23.713737
186,76,23.713737,25.482967
187,77,25.482967,27.384197
188,78,27.384197,29.427271
189,79,29.427271,31.622776
190,80,31.622776,33.982082
191,81,33.982082,36.517414
192,82,36.517414,39.241898
193,83,39.241898,42.169651
194,84,42.169651,45.315838
195,85,45.315838,48.696751
196,86,48.696751,52.329910
197,87,52.329910,56.234131
198,88,56.234131,60.429638
199,89,60.429638,64.938164
200,90,64.938164,69.783058
201,91,69.783058,74.989418
202,92,74.989418,80.584221
203,93,80.584221,86.596436
204,94,86.596436,93.057205 
